file,tool,api,operations_selected,operations_total,stateful_scenarios,api_links_covered,api_links_selected,api_links_total,stateful_passed,stateful_failed,test_cases_generated,test_cases_found,unique_failures,test_cases_skipped,seed,duration_seconds,api_accepts_requests_without_authentication,server_error,response_violates_schema,api_accepted_schema_violating_request,api_rejected_schema_compliant_request,malformed_media_type,missing_header_not_rejected,resource_is_not_available_after_creation,undocumented_content_type,undocumented_http_status_code
authenticated_run_fixed_seed_01.log,Schemathesis,crAPI,44,44,505,21,36,36,471,34,5623,100,124,2991,12345,170.56,2,16,14,7,15,1,3,1,3,53
authenticated_run_fixed_seed_02.log,Schemathesis,crAPI,44,44,256,10,36,36,231,25,3215,93,117,1660,12345,93.16,2,15,11,6,15,1,3,1,3,51
authenticated_run_fixed_seed_03.log,Schemathesis,crAPI,44,44,452,12,36,36,424,28,5028,94,119,2576,12345,146.63,2,16,11,5,15,1,3,1,3,53
