tool,endpoint,finding_type,severity,status
Schemathesis,/workshop/api/shop/orders/{order_id},Authentication Bypass,High,Confirmed,Endpoint returns order data without Authorization header
Schemathesis,/workshop/api/shop/orders/{order_id},IDOR / Broken Access Control,High,Confirmed,Unauthenticated user can access order details and payment information by changing order ID
Schemathesis,/identity/api/v2/user/dashboard,Improper Authentication Handling,Low,Confirmed,Endpoint returns 404 and user-not-found message instead of 401 Unauthorized for missing or invalid JWT
Schemathesis,/identity/api/auth/v2/check-otp,Improper Error Handling,Medium,Confirmed,Empty OTP validation request triggers HTTP 500 instead of controlled client error
Schemathesis,/identity/api/auth/v3/check-otp,Improper Error Handling,Medium,Confirmed,Invalid OTP validation request triggers HTTP 500 instead of controlled client error
Schemathesis,/identity/api/auth/v2.7/user/login-with-token,Server Error,Medium,Confirmed by Tool
Schemathesis,/identity/api/auth/v2.7/user/login-with-token,Improper Error Handling,Medium,Confirmed,Invalid token-based login request returns HTTP 500 with Invalid Credentials instead of a controlled authentication error
Schemathesis,/workshop/api/mechanic/mechanic_report,Improper Error Handling,Medium,Confirmed,Missing report_id parameter triggers HTTP 500 instead of controlled client error
